序号,代码,名称,市场代码简称,最新价(元) 14:10,涨跌幅(%) 14:10,东财行业分类二级,成交量环比增长率 2026.06.25,证券类型,成交量(股) 2026.06.24,成交量(股) 14:10,东财行业总分类,申万行业分类,概念,涨跌额(元) 14:10,最高价(元) 14:10,最低价(元) 14:10,换手率(%) 14:10,量比 14:10,成交额(元) 14:10,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25,CHOICE_INNER_CODE,IN_OPTIONAL,CHG<70>{2026-06-25}
1,601066,中信建投,SH,29.43,6.13,证券Ⅱ,49.98,A股,9535.00万,1.43亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、上证180_、证金持股、沪股通、券商概念、标准普尔、大盘股、趋势股、HS300_、腾讯概念、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、破增发价股,1.700,30.50,27.36,2.20,2.17,41.88亿,15.56,2.6459,2282.80亿,1911.68亿,1001030413,False,6.13
2,600906,财达证券,SH,7.95,6.00,证券Ⅱ,26.16,A股,1.43亿,1.81亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,雄安新区、融资融券、昨日高振幅、参股期货、中证500、沪股通、券商概念、小盘股、趋势股、互联网金融、京津冀一体化、央国企改革、百度概念、金融地产风格、小盘成长,0.450,8.12,7.40,8.52,1.41,14.16亿,25.45,2.0621,257.98亿,168.88亿,1002096999,False,6.00
3,601878,浙商证券,SH,9.86,4.67,证券Ⅱ,69.84,A股,4967.83万,8437.24万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、共同富裕示范区、参股期货、上证380、沪股通、券商概念、标准普尔、HS300_、互联网金融、央国企改革、科创板做市商、富时罗素、金融地产风格、MSCI中国,0.440,9.96,9.36,1.84,2.12,8.21亿,15.01,1.1963,450.98亿,450.98亿,1000324638,False,4.67
4,601901,方正证券,SH,7.46,4.63,证券Ⅱ,61.98,A股,1.80亿,2.92亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、昨日高振幅、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、大盘股、HS300_、互联网金融、富时罗素、金融地产风格、2025年报预增、MSCI中国、参股银行,0.330,7.78,7.06,3.55,3.09,21.84亿,10.33,1.1716,614.11亿,614.11亿,1000000058,False,4.49
5,300059,东方财富,SZ,21.08,4.46,证券Ⅱ,15.16,A股,7.09亿,8.16亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,0.900,21.57,20.04,6.11,1.46,170.62亿,22.31,3.5378,3335.32亿,2814.87亿,1000008935,False,4.46
6,600918,中泰证券,SH,5.50,3.58,证券Ⅱ,27.72,A股,5888.71万,7521.34万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、参股期货、中盘成长、上证380、沪股通、券商概念、HS300_、互联网金融、央国企改革、富时罗素、金融地产风格、2025年报预增、MSCI中国、破增发价股,0.190,5.64,5.23,1.65,1.69,4.09亿,23.22,0.9745,435.51亿,250.96亿,1000673356,False,3.58
7,601995,中金公司,SH,36.17,3.37,证券Ⅱ,57.37,A股,3335.44万,5249.02万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、参股期货、上证180_、证金持股、沪股通、券商概念、大盘股、HS300_、互联网金融、2026一季报预增、央国企改革、富时罗素、金融地产风格、中字头、2025年报预增、MSCI中国,1.180,36.88,34.59,1.80,1.96,18.89亿,12.20,1.7006,1746.02亿,1057.45亿,1002243655,False,3.37
8,600030,中信证券,SH,28.80,3.26,证券Ⅱ,16.61,A股,2.76亿,3.22亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,0.910,29.06,27.71,2.65,1.29,91.97亿,10.45,1.4959,4269.80亿,3508.06亿,1000002450,False,3.26
9,601099,太平洋,SH,3.50,3.24,证券Ⅱ,4.03,A股,2.27亿,2.36亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、西部大开发、中盘成长、上证380、中证500、沪股通、券商概念、标准普尔、互联网金融、富时罗素、金融地产风格、MSCI中国,0.110,3.52,3.36,3.47,1.38,8.16亿,244.62,2.4015,238.57亿,238.57亿,1000005504,False,3.24
10,601211,国泰海通,SH,18.10,3.08,证券Ⅱ,33.16,A股,1.50亿,1.99亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、大盘股、HS300_、上证50_、互联网金融、央国企改革、科创板做市商、股权激励、富时罗素、金融地产风格、2025年报预增、MSCI中国、长江三角,0.540,18.28,17.23,1.48,1.47,35.61亿,12.49,0.9923,3190.84亿,2442.94亿,1000304595,False,3.08
